Message Type,Transmission Type,Session ID,AircraftID,HexIdnet,FlightID,Date MSG Generated,Time MSG Generated,Time MSG Received,Time MSG Received,a,b,c,d,Latitude,Longitude,e,f,g,h,i,j,,,,,,
MSG,7,1,1,7C6C2B,1,10/1/2018,33:56.4,10/1/2018,33:56.4,,10600,,,,,,,,,,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:56.5,10/1/2018,33:56.5,,25300,,,,,,,0,,0,,,,,,,
MSG,3,1,1,7C6D9D,1,10/1/2018,33:56.6,10/1/2018,33:56.6,,25300,,,-32.9851,151.71973,,,0,,0,0,,,,,,
MSG,6,1,1,7C5C50,1,10/1/2018,33:56.7,10/1/2018,33:56.7,,,,,,,,1200,0,0,0,,,,,,,
MSG,4,1,1,7C6D9D,1,10/1/2018,33:56.7,10/1/2018,33:56.7,,,436,19,,,1856,,,,,0,,,,,,
MSG,4,1,1,7C5C50,1,10/1/2018,33:56.8,10/1/2018,33:56.8,,,116,348,,,1280,,,,,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:56.8,10/1/2018,33:56.8,,,,,,,,1305,0,0,0,,,,,,,
MSG,3,1,1,7C5C50,1,10/1/2018,33:56.8,10/1/2018,33:56.9,,2300,,,-33.51329,151.25208,,,0,,0,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:56.9,10/1/2018,33:56.9,,25325,,,,,,,0,,0,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:56.9,10/1/2018,33:56.9,,,436,19,,,,1305,0,0,0,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:56.9,10/1/2018,33:56.9,,25325,,,,,1920,,0,,0,,,,,,,
MSG,7,1,1,7C6C2B,1,10/1/2018,33:56.9,10/1/2018,33:57.0,,10625,,,,,,,,,,,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:56.9,10/1/2018,33:57.0,,24225,,,,,,,0,,0,,,,,,,
MSG,6,1,1,7C089A,1,10/1/2018,33:56.9,10/1/2018,33:57.0,,,440,15,,,,1333,0,0,0,,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:56.9,10/1/2018,33:57.0,,24250,,,,,2144,,0,,0,,,,,,,
MSG,8,1,1,7C6D9D,1,10/1/2018,33:57.0,10/1/2018,33:57.0,,,,,,,,,,,,0,,,,,,
MSG,3,1,1,7C089A,1,10/1/2018,33:57.0,10/1/2018,33:57.1,,24250,,,-33.19968,151.82084,,,0,,0,0,,,,,,
MSG,4,1,1,7C089A,1,10/1/2018,33:57.0,10/1/2018,33:57.1,,,440,15,,,2112,,,,,0,,,,,,
MSG,7,1,1,7C6D9D,1,10/1/2018,33:57.1,10/1/2018,33:57.1,,25325,,,,,,,,,,,,,,,,
MSG,6,1,1,7C089A,1,10/1/2018,33:57.1,10/1/2018,33:57.1,,,,,,,,1333,0,0,0,,,,,,,
MSG,3,1,1,7C6D9D,1,10/1/2018,33:57.1,10/1/2018,33:57.1,,25325,,,-32.98398,151.72018,,,0,,0,0,,,,,,
MSG,8,1,1,7C6C2B,1,10/1/2018,33:57.1,10/1/2018,33:57.2,,,,,,,,,,,,0,,,,,,
MSG,7,1,1,7C089A,1,10/1/2018,33:57.2,10/1/2018,33:57.2,,24250,,,,,,,,,,,,,,,,
MSG,7,1,1,7C6D9D,1,10/1/2018,33:57.2,10/1/2018,33:57.2,,25325,,,,,,,,,,,,,,,,
MSG,7,1,1,7C6D9D,1,10/1/2018,33:57.2,10/1/2018,33:57.2,,25325,,,,,,,,,,,,,,,,
MSG,4,1,1,7C6D9D,1,10/1/2018,33:57.2,10/1/2018,33:57.2,,,436,19,,,1856,,,,,0,,,,,,
MSG,7,1,1,7C6C2B,1,10/1/2018,33:57.2,10/1/2018,33:57.2,,10625,,,,,,,,,,,,,,,,
MSG,4,1,1,7C6C2B,1,10/1/2018,33:57.2,10/1/2018,33:57.3,,,379,18,,,2688,,,,,0,,,,,,
MSG,7,1,1,7C6C2B,1,10/1/2018,33:57.3,10/1/2018,33:57.3,,10625,,,,,,,,,,,,,,,,
MSG,3,1,1,7C6C2B,1,10/1/2018,33:57.3,10/1/2018,33:57.3,,10650,,,-33.61342,151.49454,,,0,,0,0,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:57.5,10/1/2018,33:57.5,,25325,,,,,,,0,,0,,,,,,,
MSG,8,1,1,7C089A,1,10/1/2018,33:57.5,10/1/2018,33:57.5,,,,,,,,,,,,0,,,,,,
MSG,3,1,1,7C6D9D,1,10/1/2018,33:57.6,10/1/2018,33:57.6,,25325,,,-32.9832,151.72048,,,0,,0,0,,,,,,
MSG,6,1,1,7C6C2B,1,10/1/2018,33:57.7,10/1/2018,33:57.7,,,,,,,,1416,0,0,0,,,,,,,
MSG,5,1,1,7C6C2B,1,10/1/2018,33:57.7,10/1/2018,33:57.7,,10650,,,,,,,0,,0,,,,,,,
MSG,4,1,1,7C6D9D,1,10/1/2018,33:57.7,10/1/2018,33:57.8,,,436,19,,,1920,,,,,0,,,,,,
MSG,5,1,1,7C5C50,1,10/1/2018,33:57.7,10/1/2018,33:57.8,,2325,,,,,,,0,,0,,,,,,,
MSG,5,1,1,7C5C50,1,10/1/2018,33:57.8,10/1/2018,33:57.8,,2325,,,,,,,0,,0,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:57.8,10/1/2018,33:57.8,,,,,,,,1305,0,0,0,,,,,,,
MSG,4,1,1,7C6C2B,1,10/1/2018,33:57.8,10/1/2018,33:57.8,,,379,18,,,2688,,,,,0,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:57.9,10/1/2018,33:57.9,,24275,,,,,,,0,,0,,,,,,,
MSG,6,1,1,7C089A,1,10/1/2018,33:57.9,10/1/2018,33:57.9,,,440,15,,,,1333,0,0,0,,,,,,,
MSG,3,1,1,7C6C2B,1,10/1/2018,33:57.9,10/1/2018,33:57.9,,10675,,,-33.6123,151.49496,,,0,,0,0,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:57.9,10/1/2018,33:57.9,,24275,,,,,,,0,,0,,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:57.9,10/1/2018,33:57.9,,24275,,,,,2112,,0,,0,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:57.9,10/1/2018,33:57.9,,25350,,,,,,,0,,0,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:57.9,10/1/2018,33:57.9,,,436,19,,,,1305,0,0,0,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:57.9,10/1/2018,33:57.9,,25350,,,,,1952,,0,,0,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:57.9,10/1/2018,33:58.0,,25350,,,,,1952,,0,,0,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:58.0,10/1/2018,33:58.0,,25350,,,,,1952,,0,,0,,,,,,,
MSG,8,1,1,7C6D9D,1,10/1/2018,33:58.0,10/1/2018,33:58.0,,,,,,,,,,,,0,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:58.0,10/1/2018,33:58.0,,,,,,,,1305,0,0,0,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:58.0,10/1/2018,33:58.0,,,436,19,,,,1305,0,0,0,,,,,,,
MSG,6,1,1,7C089A,1,10/1/2018,33:58.0,10/1/2018,33:58.0,,,,,,,,1333,0,0,0,,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:58.0,10/1/2018,33:58.0,,24275,,,,,,,0,,0,,,,,,,
MSG,3,1,1,7C6D9D,1,10/1/2018,33:58.0,10/1/2018,33:58.0,,25350,,,-32.98226,151.72091,,,0,,0,0,,,,,,
MSG,3,1,1,7C089A,1,10/1/2018,33:58.0,10/1/2018,33:58.1,,24275,,,-33.19771,151.8215,,,0,,0,0,,,,,,
MSG,4,1,1,7C089A,1,10/1/2018,33:58.0,10/1/2018,33:58.1,,,440,15,,,2112,,,,,0,,,,,,
MSG,5,1,1,7C6C2B,1,10/1/2018,33:58.0,10/1/2018,33:58.1,,10675,,,,,,,0,,0,,,,,,,
MSG,7,1,1,7C6D9D,1,10/1/2018,33:58.1,10/1/2018,33:58.1,,25350,,,,,,,,,,,,,,,,
MSG,5,1,1,7C6C2B,1,10/1/2018,33:58.1,10/1/2018,33:58.1,,10675,,,,,2720,,0,,0,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:58.1,10/1/2018,33:58.1,,25350,,,,,,,0,,0,,,,,,,
MSG,5,1,1,7C6C2B,1,10/1/2018,33:58.1,10/1/2018,33:58.1,,10675,,,,,2720,,0,,0,,,,,,,
MSG,6,1,1,7C6C2B,1,10/1/2018,33:58.1,10/1/2018,33:58.1,,,,,,,,1416,0,0,0,,,,,,,
MSG,6,1,1,7C6C2B,1,10/1/2018,33:58.1,10/1/2018,33:58.1,,,378,18,,,,1416,0,0,0,,,,,,,
MSG,7,1,1,7C6C2B,1,10/1/2018,33:58.1,10/1/2018,33:58.2,,10675,,,,,,,,,,,,,,,,
MSG,7,1,1,7C5C50,1,10/1/2018,33:58.1,10/1/2018,33:58.2,,2325,,,,,,,,,,,,,,,,
